ip,d1,d2,d3,d4,d5,d6,screenWidth,screenHeight,innerWidth,innerHeight,colorDepth,pixelDepth,instructionsTime,blockID,pause,trialID,RT,response,wascorrect,tPresent,tSize,tColor,tOrientation,tLocation
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,3,2,62,1060,right,false,true,1,#0084BA,0,s10,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,3,2,63,1847,right,false,true,1,#0084BA,0,s17,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,3,2,64,1235,right,true,false,1,#0084BA,0,s17,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,3,2,65,1998,right,false,true,1,#0084BA,0,s6,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,3,2,66,1008,left,true,true,1,#D73138,90,s11,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,3,2,67,2672,right,true,false,1,#D73138,90,s11,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,3,2,68,3971,right,true,false,1,#D73138,90,s11,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,3,2,69,2860,right,true,false,1,#D73138,90,s11,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,3,2,70,2460,left,true,true,1,#0084BA,0,s17,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,3,2,71,1221,left,true,true,1,#0084BA,0,s19,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,3,2,72,2622,right,true,false,1,#0084BA,0,s19,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,3,2,73,2659,right,true,false,1,#0084BA,0,s19,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,3,2,74,2659,right,true,false,1,#0084BA,0,s19,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,4,4,75,773,left,true,true,1,#D73138,90,s17,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,4,4,76,972,left,false,false,1,#D73138,90,s17,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,4,4,77,772,right,true,false,1,#D73138,90,s17,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,4,4,78,1685,right,false,true,1,#0084BA,0,s11,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,4,4,79,3346,right,true,false,1,#0084BA,0,s11,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,4,4,80,3522,right,true,false,1,#0084BA,0,s11,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,4,4,81,759,left,true,true,1,#D73138,90,s13,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,4,4,82,546,left,true,true,1,#D73138,90,s13,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,4,4,83,885,left,true,true,1,#D73138,90,s22,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,4,4,84,3547,right,true,false,1,#D73138,90,s22,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,4,4,85,2171,left,true,true,1,#0084BA,0,s1,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,4,4,86,847,left,true,true,1,#D73138,90,s22,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,4,4,87,1247,right,false,true,1,#0084BA,0,s1,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,4,4,88,2322,right,true,false,1,#0084BA,0,s1,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,4,4,89,758,left,true,true,1,#D73138,90,s7,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,4,4,90,1197,right,true,false,1,#D73138,90,s7,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,4,4,91,1408,left,true,true,1,#0084BA,0,s14,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,4,4,92,2097,left,true,true,1,#0084BA,0,s2,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,4,4,93,2797,right,true,false,1,#0084BA,0,s2,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,4,4,94,659,left,true,true,1,#D73138,90,s8,B
